Title,Author,Author affiliation,Source,ISBN13,Publication year,Volume and Issue,Pages,Issue date,Monograph title,Language,Article In Press,Open Access type(s),Database,Copyright,Data Provider;;;;;;;;;;
"Topological Optimization by ANSYS 18.1 for the Additive Manufacturing,""Yaagoubi, H. (1)"; Abouchadi, H. (1);" Taha janan, M. (1) "",""(1) Mohammed V University, Laboratory of Applied Mechanics and Technologies, Morocco "",""Advanced Intelligent Systems for Sustainable Development (AI2SD'2020). Advances in Intelligent Systems and Computing (1417)"",""978-3-030-90633-7"","""","""",""810-19"",""2022"","""","""","""",,""Inspec"",""Copyright 2022, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;;;
"Innovative joint for cable dome structure based on topology optimization and additive manufacturing,""Wenfeng Du (1)"; Hui Wang (1); Liming Zhu (1); Yannan Zhao (1); Yingqi Wang (1); Runqi Hao (2);" Mijia Yang (3) "",""(1) Henan University, Institute of Steel and Spatial Structures, China (2) University of Rennes, Civil and Mechanical Engineering Laboratory, France (3) North Dakota State University, Department of Civil and Environmental Engineering, Fargo, ND 58102, United States "",""Materials"","""","""",""v 14, n 18"",""5158 (16 pp.)"",""2021"","""","""","""",,""Inspec"",""Copyright 2022, The Institution of Engineering and Technology"",""Engineering Village""";;;;
"Topology Optimization of Structures Obtained by Additive Manufacturing: Case of 3D beam,""El Khadiri, I. (1)"; Zemzami, M. (1); Hmina, N. (1); Lagache, M. (2);" Belhouideg, S. (3) "",""(1) University Sultan Moulay Slimane, Systems Engineering Laboratory, Morocco (2) Univ. Savoie, Polytech Annecy Chambery, France (3) University Sultan Moulay Slimane, Polydisciplinary Faculty, Morocco "",""2021 7th International Conference on Optimization and Applications (ICOA)"",""978-1-6654-4103-2"","""","""",""4 pp."",""2021"","""","""","""",,""Inspec"",""Copyright 2021, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;
"Innovative joint for cable dome structure based on topology optimization and additive manufacturing,""Du, Wenfeng (1)"; Wang, Hui (1); Zhu, Liming (1); Zhao, Yannan (1); Wang, Yingqi (1); Hao, Runqi (2);" Yang, Mijia (3) "",""(1) Institute of Steel and Spatial Structures, College of Civil Engineering and Architecture, Henan University, Kaifeng"; 475004, China (2) Civil and Mechanical Engineering Laboratory, Rennes; 35000, France (3) Department of Civil and Environmental Engineering, North Dakota State University, Fargo; ND;" 58102, United States "",""Materials"","""",""2021"",""v 14, n 18"","""",""September 2021"","""","""","""",""All Open Access, Gold, Green"",""Compendex"",""Compilation and indexing terms, Copyright 2022 Elsevier Inc."",""Engineering Village"""
"Analysis of the porous structures from laser powder bed fusion additive manufacturing,""Wang, Chang Jiang (1)"; Hazlehurst, Kevin (2); Arjunan, Arun (3);" Shen, Lida (4) "",""(1) Department of Engineering and Design, University of Sussex, Brighton"; BN1 9RH, United Kingdom (2) Conflux Technology Pty Ltd, 75 Pigdons Road, Waurn Ponds; VIC; 3216, Australia (3) School of Engineering, University of Wolverhampton, Telford; TF2 9NT, United Kingdom (4) College of Mechanical and Electrical Engineering, Nanjing University of Aeronautics and Astronautics, Yu Dao Street, Nanjing;" 210016, China "",""Advances in Transdisciplinary Engineering"",""9781643681986"",""2021"",""v 15"",""p 97-102"",""August 21, 2021"",""Moving Integrated Product Development to Service Clouds in the Global Economy - Proceedings of the 21st ISPE Inc. International Conference on Concurrent Engineering, CE 2014"","""","""",""All Open Access, Gold, Green"",""Compendex"",""Compilation and indexing terms, Copyright 2022 Elsevier Inc."",""Engineering Village""";;
"Optimization of Temperature Regimes of the Hotend for Devices of Additive Manufacturing,""Sinev, A.Y. (1)"; Panasenko, R.A. (2); Petrenko, V.V. (2); Berestov, A.V. (2);" Bozhko, Y.V. (3) "",""(1) IP Sinev, Dukhovskoy lane 17, Russia (2) National Research Nuclear University 'MEPhI', Kashirskoe Shosse, 31, Russia (3) National Research Nuclear University, Kashirskoe Shosse, 31, Russia "",""Materials Science Forum"","""","""",""v 1037"",""41-6"",""2021"","""","""","""",,""Inspec"",""Copyright 2021, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;
"Multi-material additive manufacturing of microwave devices,""Vial, B. (1)"; Giddens, H. (1);" Hao, Y. (1) "",""(1) Queen Mary University of London, United Kingdom "",""2022 16th European Conference on Antennas and Propagation (EuCAP)."",""978-88-31299-04-6"","""","""",""5 pp."",""2022"","""","""","""",,""Inspec"",""Copyright 2022, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;;;
"Thermal-Mechanical Coupling of Regional Scanning Based on Characteristic Regions in Laser Additive Manufacturing,""Yang, Guang (1)"; Li, Yuhang (1); Zhou, Siyu (1); Wang, Xia (1); Qin, Lanyun (1);" Wang, Xiangming (2) "",""(1) School of Mechatronic Engineering, Shenyang Aerospace University, Shenyang"; 110136, China (2) Shenyang Aircraft Design Institute, Shenyang;" 110035, China "",""Zhongguo Jiguang/Chinese Journal of Lasers"","""",""2021"",""v 48, n 10"","""",""May 25, 2021"","""",""Chinese"","""",,""Compendex"",""Compilation and indexing terms, Copyright 2022 Elsevier Inc."",""Engineering Village""";;;
"Laser Additive Manufacturing of 316L Stainless Steel Thin-wall Ring Parts,""Zhao, Yanhua (1, 3)"; Tian, Wenhao (1); Liu, Jianhua (1); Qian, Dongqing (2); Meng, Wei (1);" Wang, Jiaming (1) "",""(1) School of Mechanical and Electrical Engineering, Shandong Jianzhu University, Jinan"; 250101, China (2) Hangzhou Optimax Tech Co., Ltd, Zhejiang, Hangzhou; 310052, China (3) Shandong Research Institute of Industrial Technology Additive Manufacturing Collaborative Innovation Center, Jinan;" 250101, China "",""Fluid Dynamics and Materials Processing"","""",""2023"",""v 19, n 2"",""p 451-470"",""2023"","""","""","""",""All Open Access, Gold"",""Compendex"",""Compilation and indexing terms, Copyright 2022 Elsevier Inc."",""Engineering Village""";;
"Design and Development of an Unmanned Aerial Cargo Vehicle Using Additive Manufacturing,""Kumar, A. (1)"; Sahdev, S. (1); Jha, A. (1); Gupta, A.K. (1);" Samsher (1) "",""(1) Delhi Technological University, Shahbad Daulatpur, Main Bawana Road, Rohini, India "",""Advances in Engineering Design. Select Proceedings of FLAME 2020. Lecture Notes in Mechanical Engineering (LNME)"",""978-981-33-4683-3"","""","""",""517-30"",""2021"","""","""","""",,""Inspec"",""Copyright 2021, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;
"Design and finite volume evaluation of a counterflow recuperative spiral heat exchanger for additive manufacturing,""Busch, Bastian (1)"; Caughley, Alan (2); Glasson, Neil (2); Badcock, Rodney A. (3); Weijers, Hubertus W (3); Lumsden, Grant (3); Gschwendtner, Michael (1); Jeong, Sangkwon (4);" Singamneni, Sarat (1) "",""(1) Auckland University of Technology, Auckland, New Zealand (2) Callaghan Innovation, Christchurch, New Zealand (3) Paihau-Robinson Researh Institute, PO Box 33436, Lower Hutt";" 5046, New Zealand (4) Korean Advanced Institute of Science and Technology, Korea, Republic of "",""Cryogenics"","""",""2022"",""v 127"","""",""October 2022"","""","""","""",,""Compendex"",""Compilation and indexing terms, Copyright 2022 Elsevier Inc."",""Engineering Village""";
"A Review on Additive Manufacturing Technology,""Mhetre, G.N. (1)"; Jadhav, V.S. (1); Deshmukh, S.P. (1);" Thakar, C.M. (1) "",""(1) Government College of Engineering, India "",""ECS Transactions"","""","""",""v 107, n 1"",""15355-74"",""2022"","""","""","""",,""Inspec"",""Copyright 2022, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;;
"Classification of dimensional deviation in additive manufacturing lpbf process for AlSi10Mg alloy according to ISO 286 and ANSI B4.2,""Amor, Sabrine Ben (1)"; Zongo, Floriane (2); Louhichi, Borhen (1); Brailovski, Vladimir (2);" Tahan, Antoine (2) "",""(1) Laboratoire de Mécanique de Sousse, Ecole Nationale d'Ingénieurs de Sousse, Université de Sousse, Tunisie, Tunisia (2) Department of Mechanical Engineering, École de Technologie Supérieure (ÉTS), Montreal"; QC;" H3C 1K3, Canada "",""Proceedings of the ASME Design Engineering Technical Conference"",""9780791885376"",""2021"",""v 2"","""",""2021"",""Proceedings of ASME 2021 International Design Engineering Technical Conferences and Computers and Information in Engineering Conference, IDETC-CIE 2021"","""","""",,""Compendex"",""Compilation and indexing terms, Copyright 2022 Elsevier Inc."",""Engineering Village""";;;;
"An Experimental–Numerical Investigation for Layer-Wise-Heat-Input Management in GMA-Based Additive Manufacturing,""Srivastava, Shekhar (1)"; Garg, Rajiv Kumar (1); Sachdeva, Anish (1); Sharma, Vishal S. (1, 2);" Singh, Sehijpal (3) "",""(1) Department of Industrial and Production Engineering, Dr. B R Ambedkar National Institute of Technology, Jalandhar, India (2) Department of Mechanical, Industrial and Aeronautical Engineering, University of Witwatersrand, Johannesburg, South Africa (3) Department of Mechanical Engineering, Guru Nanak Dev Engineering College, Ludhiana, India "",""Journal of The Institution of Engineers (India): Series C"","""",""2022"","""","""",""2022"","""","""","" Article in Press "",,""Compendex"",""Compilation and indexing terms, Copyright 2022 Elsevier Inc."",""Engineering Village""";;;;;;
"X-ray tomography for the advancement of laser powder bed fusion additive manufacturing,""Du plessis, A. (1, 2) "",""(1) Stellenbosch University, Research group 3DInnovation, South Africa (2) Nelson Mandela University, Department of Mechanical Engineering, South Africa "",""Journal of Microscopy"","""","""",""v 285, n 3"",""121-30"",""2022"","""","""","""",,""Inspec"",""Copyright 2022, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;;;;;
"Thermal-Mechanical Coupling of Regional Scanning Based on Characteristic Regions in Laser Additive Manufacturing,""Yang guang (1)"; Li yuhang (1); Zhou siyu (1); Wang xia (1); Qin lanyun (1);" Wang xiangming (2) "",""(1) Shenyang Aerospace University, School of Mechatronic Engineering, China (2) Shenyang Aircraft Design Institute, China "",""Chinese Journal of Lasers"","""","""",""v 48, n 10"",""1002115 (11 pp.)"",""2021"","""","""","""",,""Inspec"",""Copyright 2022, The Institution of Engineering and Technology"",""Engineering Village""";;;;;
"A Two-Relaxation-Time Lattice Boltzmann Model for Electron Beam Selective Melting Additive Manufacturing,""Chen, D. (1)"; Chen, W. (2); Liu, Y. (3);" Sun, D. (1) "",""(1) Southeast University, School of Mechanical Engineering, China (2) AVIC Manufacturing Technology Institute, Power Beam Processing Laboratory, China (3) China Academy of Launch Vehicle Technology, R and D Department, China "",""Frontiers in Materials"","""","""",""v 9"",""885481 (10 pp.)"",""2022"","""","""","""",,""Inspec"",""Copyright 2022, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;;
"XYZ Micropositioning System Based on Compliance Mechanisms Fabricated by Additive Manufacturing,""Ferrara-Bello, A. (1)"; Vargas-Chable, P. (1); Vera-Dimas, G. (1); Vargas-Bernal, R. (2);" Tecpoyotl-Torres, M. (1) "",""(1) Universidad Autonoma del Estado de Morelos, Centro de Investigacion en Ingenieria y Ciencias Aplicadas, Mexico (2) Instituto Tecnologico Superior de Irapuato, Departamento de Ingenieria en Materiales, Mexico "",""Actuators"","""","""",""v 10, n 4"",""68 (23 pp.)"",""2021"","""","""","""",,""Inspec"",""Copyright 2022, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;
"The Topological Optimization and the Design for Additive Manufacturing of a Steering Knuckle for Formula SAE Electric Vehicle,""Zach, T.-F. (1)";" Dudescu, M.-C. (2) "",""(1) Technical University of Cluj-Napoca, Advanced Techniques in Automotive Engineering, Blvd. Muncii, no. 103-105, Romania (2) Technical University of Cluj-Napoca, Department of Mechanical Engineering, Blvd. Muncii, no. 103-105, Romania "",""MATEC Web of Conferences"","""","""",""v 343"",""04011 (14 pp.)"",""2021"","""","""","""",,""Inspec"",""Copyright 2021, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;;;;
"Quantification and compensation of thermal distortion in additive manufacturing: a computational statistics approach,""Chao Wang (1)"; Shaofan Li (1); Zeng, D. (2);" Xinhai Zhu (3) "",""(1) University of California, Berkeley, Department of Civil and Environmental Engineering, Berkeley, CA 94720, United States (2) Ford Motor Co., Detroit, MI 48226, United States (3) ANSYS Livermore Software Technology, Livermore, CA 94551, United States "",""Computer Methods in Applied Mechanics and Engineering"","""","""",""v 375"",""214-34"",""1 March 2021"","""","""","""",,""Inspec"",""Copyright 2022, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;;
"Radio Frequency Identification and Sensing at the Additive Manufacturing Crosslab,""Genovesi, S. (1)"; Costa, F. (1); El geziry, M. (1); Rodini, S. (1); Gasperini, D. (1);" Manara, G. (1) "",""(1) Universita di Pisa, Dipartimento di Ingegneria dell'Informazione, Italy "",""2022 Microwave Mediterranean Symposium (MMS)"",""978-1-6654-7110-7"","""","""",""4 pp."",""2022"","""","""","""",,""Inspec"",""Copyright 2022, The Institution of Engineering and Technology"",""Engineering Village""";;;;;
"Research progress of metal solid phase additive manufacturing based on friction stir,""Shi, Lei (1, 2)"; Li, Yang (1); Xiao, Yichen (1); Wu, Chuansong (1);" Liu, Huijie (2) "",""(1) Key Laboratory for Liquid-Solid Structural Evolution and Processing of Materials (Ministry of Education), Shandong University, Jinan"; 250061, China (2) State Key Laboratory of Advanced Welding and Joining, Harbin Institute of Technology, Harbin;" 150001, China "",""Cailiao Gongcheng/Journal of Materials Engineering"","""",""2022"",""v 50, n 1"",""p 1-14"",""January 20, 2022"","""",""Chinese"","""",,""Compendex"",""Compilation and indexing terms, Copyright 2022 Elsevier Inc."",""Engineering Village""";;;;
"Machine learning for metal additive manufacturing: Predicting temperature and melt pool fluid dynamics using physics-informed neural networks,""Zhu, Qiming (1)"; Liu, Zeliang (2);" Yan, Jinhui (1) "",""(1) Department of Civil and Environmental Engineering, University of Illinois at Urbana-Champaign, Champaign"; IL, United States (2) Livermore Software Technology, ANSYS company, Livermore;" CA, United States "",""arXiv"","""",""2020"","""","""",""July 28, 2020"","""","""","""",,""Compendex"",""Compilation and indexing terms, Copyright 2022 Elsevier Inc."",""Engineering Village""";;;;;;
"Study on the influence of laser power variation on the temperature Field of laser additive manufacturing Airport fuel supply pipe network,""Sun, Fu-Zhen (1, 2)"; Li, Yan (1); Fu, Yi-Xuan (3); Tan, Wen-Dan (3); Feng, Sheng-Qiang (4);" Pang, Ming (3) "",""(1) Beijing National Innovation Institute of Lightweight Ltd., Beijing"; 100083, China (2) University of Science and Technology Beijing, Beijing; 100083, China (3) Airport College, Civil Aviation University of China, Tianjin; 300300, China (4) Chinese Weapons Science Academy Ningbo Branch, Zhejiang Province, Ningbo;" 315103, China "",""Optik"","""",""2020"",""v 221"","""",""November 2020"","""","""","""",,""Compendex"",""Compilation and indexing terms, Copyright 2022 Elsevier Inc."",""Engineering Village""";
"Machine learning for metal additive manufacturing: predicting temperature and melt pool fluid dynamics using physics-informed neural networks,""Qiming Zhu (1)"; Zeliang Liu (2);" Jinhui Yan (1) "",""(1) University of Illinois at Urbana-Champaign, Department of Civil and Environmental Engineering, Champaign, IL, United States (2) Livermore Software Technology, An ANSYS Company, Livermore, CA, United States "",""Computational Mechanics"","""","""",""v 67, n 2"",""619-35"",""2021"","""","""","""",,""Inspec"",""Copyright 2021, The Institution of Engineering and Technology"",""Engineering Village""";;;;;;;;
