PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Dura, Jose L.; Solanes, Carmen; De Andres, Jose; Saiz, Javier								Effect of Lead Position and Polarity on Paresthesia Coverage in Spinal Cord Stimulation Therapy: A Computational Study								NEUROMODULATION				25	5			680	692		10.1016/j.neurom.2021.12.013				JUL 2022	2022	Objectives: The effect of lead placement and programming strategies on spinal cord stimulation (SCS) therapy has been widely studied; however, there is a need to optimize these parameters to favor dorsal column (DC) over dorsal root (DR) stimulation in complex pain treatment. This study aimed to determine the optimal lateral distance between two leads and the effect of transverse stimulation using a mathematical model. Materials and Methods: A three-dimensional computational SCS and a nerve fiber model were used to determine the effect of the lateral distance between two leads at the same vertebral level T8 and the effect of the addition of anodes with two parallel leads at T8 and three different lateral distances on the model-based results (perception thresholds, activated DC fiber area and depth, and position of the first stimulated fiber). Results: With two parallel leads programmed with symmetrical polarities, the maximal DC fiber area stimulated was found for a lateral distance of 5 mm. The results also show a higher preference for DR stimulation as the lateral distance increased. The addition of positive contacts at the same level of active contacts in the second lead produces a displacement of the first stimulated fiber laterally. Conclusions: A lateral distance of 5 mm shows a DC stimulated fiber area greater than when leads are placed contiguously. The addition of anodes creates an effect whereby the area of paresthesia is not displaced to the midline, but in the opposite direction. This may be useful when the leads are too close and stimulation of one of the sides is compromised.																		1094-7159	1525-1403		WOS:000824610200004	35131153	
J	Medlock, Laura; Sekiguchi, Kazutaka; Hong, Sungho; Dura-Bernal, Salvador; Lytton, William W.; Prescott, Steven A.								Multiscale Computer Model of the Spinal Dorsal Horn Reveals Changes in Network Processing Associated with Chronic Pain								JOURNAL OF NEUROSCIENCE				42	15			3133	3149		10.1523/JNEUROSCI.1199-21.2022				APR 13 2022	2022	Pain-related sensory input is processed in the spinal dorsal horn (SDH) before being relayed to the brain. That processing profoundly influences whether stimuli are correctly or incorrectly perceived as painful. Significant advances have been made in identifying the types of excitatory and inhibitory neurons that comprise the SDH, and there is some information about how neuron types are con-nected, but it remains unclear how the overall circuit processes sensory input or how that processing is disrupted under chronic pain conditions. To explore SDH function, we developed a computational model of the circuit that is tightly constrained by experimental data. Our model comprises conductance-based neuron models that reproduce the characteristic firing patterns of spinal neurons. Excitatory and inhibitory neuron populations, defined by their expression of genetic markers, spiking pattern, or morphology, were synaptically connected according to available qualitative data. Using a genetic algorithm, synaptic weights were tuned to reproduce projection neuron firing rates (model output) based on primary afferent firing rates (model input) across a range of mechanical stim-ulus intensities. Disparate synaptic weight combinations could produce equivalent circuit function, revealing degeneracy that may underlie heterogeneous responses of different circuits to perturbations or pathologic insults. To validate our model, we verified that it responded to the reduction of inhibition (i.e., disinhibition) and ablation of specific neuron types in a manner consistent with experi-ments. Thus validated, our model offers a valuable resource for interpreting experimental results and testing hypotheses in silico to plan experiments for examining normal and pathologic SDH circuit function.																		0270-6474	1529-2401		WOS:000789016600006	35232767	
J	Hadanny, Amir; Pilitsis, Julie G.								Development of Machine Learning Based Models to Predict Treatment Response to Spinal Cord Stimulation								NEUROSURGERY				68			367	87	88					1	APR 2022	2022																			0148-396X	1524-4040		WOS:000783218700175	35179133	
J	Arle, Jeffrey E.								Toward a Complete Mechanism of Action in Epidural Spinal Cord Stimulation - Including Threshold Accommodation								NEUROSURGERY				68			369	88	88					1	APR 2022	2022																			0148-396X	1524-4040		WOS:000783218700177		
J	Rogers, Evan R.; Zander, Hans J.; Lempka, Scott F.								Neural Recruitment During Conventional, Burst, and 10-kHz Spinal Cord Stimulation for Pain								JOURNAL OF PAIN				23	3			434	449		10.1016/j.jpain.2021.09.005				MAR 2022	2022	Spinal cord stimulation (SCS) is a popular neurostimulation therapy for severe chronic pain. To improve stimulation efficacy, multiple modes are now used clinically, including conventional, burst, and 10-kHz SCS. Clinical observations have produced speculation that these modes target different neural elements and/or work via distinct mechanisms of action. However, in humans, these hypotheses cannot be conclusively answered via experimental methods. Therefore, we utilized computational modeling to assess the response of primary afferents, interneurons, and projection neurons to conventional, burst, and 10-kHz SCS. We found that local cell thresholds were always higher than afferent thresholds, arguing against direct recruitment of these local cells. Furthermore, although we observed relative threshold differences between conventional, burst, and 10-kHz SCS, the recruitment order was the same. Finally, contrary to previous reports, axon collateralization produced complex changes in activation thresholds of primary afferents. These results motivate future work to contextualize clinical observations across SCS paradigms.Perspective: This article presents the first computational modeling study to investigate neural recruitment during conventional, burst, and 10-kilohertz spinal cord stimulation for chronic pain within a single modeling framework. The results provide insight into these treatments' unknown mechanisms of action and offer context to interpreting clinical observations. (C) 2021 by United States Association for the Study of Pain, Inc.																		1526-5900	1528-8447		WOS:000767383400008	34583022	
J	Tilley, Dana M.; Cedeno, David L.; Vetri, Francesco; Platt, David C.; Vallejo, Ricardo								Differential target multiplexed spinal cord stimulation programming modulates proteins involved in ion regulation in an animal model of neuropathic pain								MOLECULAR PAIN				18						17448069211060181	10.1177/17448069211060181				JAN 19 2022	2022	The effect of spinal cord stimulation (SCS) using differential target multiplexed programming (DTMP) on proteins involved in the regulation of ion transport in spinal cord (SC) tissue of an animal model of neuropathic pain was evaluated in comparison to low rate (LR) SCS. Rats subjected to the spared nerve injury model (SNI) and implanted with a SCS lead were assigned to DTMP or LR and stimulated for 48 h. A No-SCS group received no stimulation, and a Sham group received no SNI or stimulation. Proteins in the dorsal ipsilateral quadrant of the stimulated SC were identified and quantified using mass spectrometry. Proteins significantly modulated by DTMP or LR relative to No-SCS were identified. Bioinformatic tools were used to identify proteins related to ion transport regulation. DTMP modulated a larger number of proteins than LR. More than 40 proteins significantly involved in the regulation of chloride (Cl-), potassium (K+), sodium (Na+), or calcium (Ca2+) ions were identified. SNI affected proteins that promote the increase of intracellular Ca2+, Na+, and K+ and decrease of intracellular Cl-. DTMP modulated proteins involved in glial response to neural injury that affect Ca2+ signaling. DTMP decreased levels of proteins related to Ca2+ transport that may result in the reduction of intracellular Ca2+. Presynaptic proteins involved in GABA vesicle formation and release were upregulated by DTMP. DTMP also upregulated postsynaptic proteins involved with elevated intracellular Cl-, while modulating proteins, expressed by astrocytes, that regulate postsynaptic Cl- inhibition. DTMP downregulated K+ regulatory proteins affected by SNI that affect neuronal depolarization, and upregulated proteins that are associated with a decrease of intracellular neuronal K+ and astrocyte uptake of extracellular K+. DTMP treatment modulated the expression of proteins with the potential to facilitate a reversal of dysregulation of ion transport and signaling associated with a model of neuropathic pain.																			1744-8069		WOS:000748470400001	35048719	
J	Hellman, Abigail; Maietta, Teresa; Clum, Alicia; Byraju, Kanakaharini; Raviv, Nataly; Staudt, Michael D.; Jeannotte, Erin; Ghoshal, Goutam; Shin, Damian; Neubauer, Paul; Williams, Emery; Heffter, Tamas; Burdette, Clif; Qian, Jiang; Nalwalk, Julia; Pilitsis, Julie G.								Pilot study on the effects of low intensity focused ultrasound in a swine model of neuropathic pain								JOURNAL OF NEUROSURGERY				135	5			1508	1515		10.3171/2020.9.JNS202962				NOV 2021	2021	OBJECTIVE The authors' laboratory has previously demonstrated beneficial effects of noninvasive low intensity focused ultrasound (liFUS), targeted at the dorsal root ganglion (DRG), for reducing allodynia in rodent neuropathic pain models. However, in rats the DRG is 5 mm below the skin when approached laterally, while in humans the DRG is typically 5- 8 cm deep. Here, using a modified liFUS probe, the authors demonstrated the feasibility of using external liFUS for modulation of antinociceptive responses in neuropathic swine.METHODS Two cohorts of swine underwent a common peroneal nerve injury (CPNI) to induce neuropathic pain. In the first cohort, pigs (14 kg) were iteratively tested to determine treatment parameters. liFUS penetration to the L5 DRG was verified by using a thermocouple to monitor tissue temperature changes and by measuring nerve conduction velocity (NCV) at the corresponding common peroneal nerve (CPN). Pain behaviors were monitored before and after treatment. DRG was evaluated for tissue damage postmortem. Based on data from the first cohort, a treatment algorithm was developed, parameter predictions were verified, and neuropathic pain was significantly modified in a second cohort of larger swine (20 kg).RESULTS The authors performed a dose-response curve analysis in 14- kg CPNI swine. Specifically, after confirming that the liFUS probe could reach 5 cm in ex vivo tissue experiments, the authors tested liFUS in 14-kg CPNI swine. The mean +/- SEM DRG depth was 3.79 +/- 0.09 cm in this initial cohort. The parameters were determined and then extrapolated to larger animals (20 kg), and predictions were verified. Tissue temperature elevations at the treatment site did not exceed 2 degrees C, and the expected increases in the CPN NCV were observed. liFUS treatment eliminated pain guarding in all animals for the duration of follow-up (up to 1 month) and improved allodynia for 5 days postprocedure. No evidence of histological damage was seen using Fluoro-Jade and H&E staining.CONCLUSIONS The results demonstrate that a 5-cm depth can be reached with external liFUS and alters pain behavior and allodynia in a large-animal model of neuropathic pain.																		0022-3085	1933-0693		WOS:000714987200001	33862597	
J	Zhong, Yihua; Wang, Jicheng; Beckel, Jonathan; de Groat, William C.; Tai, Changfeng								Model Analysis of Post-Stimulation Effect on Axonal Conduction and Block								IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING				68	10			2974	2985		10.1109/TBME.2021.3057522				OCT 2021	2021	Objective: To reveal the possible contribution of changes in membrane ion concentration gradients and ion pump activity to axonal conduction/block induced by long-duration electrical stimulation. Methods: A new model for conduction and block of unmyelinated axons based on the classical Hodgkin-Huxley (HH) equations is developed to include changes in Na+ and K+ concentrations and ion pumps. The effect of long-duration stimulation on axonal conduction/block is analyzed by computer simulation using this new model. Results: The new model successfully simulates initiation, propagation, and block of action potentials induced by short-duration (multiple milliseconds) stimulations that do not significantly change the ion concentrations in the classical HH model. In addition, the activity-dependent effects such as action potential attenuation and broadening observed in animal studies are also successfully simulated by the new model. Finally, the model successfully simulates axonal block occurring after terminating a long-duration (multiple seconds) direct current (DC) stimulation as observed in recent animal studies and reveals 3 different mechanisms for the post-DC block of axonal conduction. Conclusion: Ion concentrations and pumps play an important role in post-stimulation effects and activity-dependent effects on axonal conduction/block. The duration of stimulation is a determinant factor because it influences the total charges applied to the axon, which in turn determines the ion concentrations inside and outside the axon. Significance: Despite recent clinical success of many neurostimulation therapies, the effects of long-duration stimulation on axonal conduction/block are poorly understood. This new model could significantly impact our understanding of the mechanisms underlying different neurostimulation therapies.																		0018-9294	1558-2531		WOS:000697820800013	33544668	
J	Jones, Martyn G.; Rogers, Evan R.; Harris, James P.; Sullivan, Andrew; Ackermann, D. Michael; Russo, Marc; Lempka, Scott F.; McMahon, Stephen B.								Neuromodulation using ultra low frequency current waveform reversibly blocks axonal conduction and chronic pain								SCIENCE TRANSLATIONAL MEDICINE				13	608					eabg9890	10.1126/scitranslmed.abg9890				AUG 25 2021	2021	Chronic pain remains a leading cause of disability worldwide, and there is still a clinical reliance on opioids despite the medical side effects associated with their use and societal impacts associated with their abuse. An alternative approach is the use of electrical neuromodulation to produce analgesia. Direct current can block action potential propagation but leads to tissue damage if maintained. We have developed a form of ultra low frequency (ULF) biphasic current and studied its effects. In anesthetized rats, this waveform produced a rapidly developing and completely reversible conduction block in >85% of spinal sensory nerve fibers excited by peripheral stimulation. Sustained ULF currents at lower amplitudes led to a slower onset but reversible conduction block. Similar changes were seen in an animal model of neuropathic pain, where ULF waveforms blocked sensory neuron ectopic activity, known to be an important driver of clinical neuropathic pain. Using a computational model, we showed that prolonged ULF currents could induce accumulation of extracellular potassium, accounting for the slowly developing block observed in rats. Last, we tested the analgesic effects of epidural ULF currents in 20 subjects with chronic leg and back pain. Pain ratings improved by 90% after 2 weeks. One week after explanting the electrodes, pain ratings reverted to 72% of pretreatment screening value. We conclude that epidural spinal ULF neuromodulation represents a promising therapy for treating chronic pain.																		1946-6234	1946-6242		WOS:000689723700006	34433642	
J	Jiao, Jiao; Wang, Feng; Huang, Jie-Jie; Huang, Jin-Jian; Li, Zong-An; Kong, Yan; Zhang, Zhi-Jun								Microfluidic hollow fiber with improved stiffness repairs peripheral nerve injury through non-invasive electromagnetic induction and controlled release of NGF								CHEMICAL ENGINEERING JOURNAL				426						131826	10.1016/j.cej.2021.131826		AUG 2021		DEC 15 2021	2021	Peripheral nerve injury can lead to paralysis, chronic pain, muscle atrophy and disability due to interrupted bioelectric signal communications between spinal cord and the innervated bodies. Bioelectric materials, particularly conductive hydrogels, have shown the increasing potentials in neural engineering because they serve as tissue scaffolds that can support cell growth and differentiation, and restore functional electric conduction. In this work, we fabricated size-tunable microfluidic hollow fibers (HF) with improved stiffness and elasticity based on a triple network called SCPAPPy, which was composed of sodium alginate/Ca2+ (SC), polyacrylamide (PA), and polypyrrole (PPy). This HF showed a higher conductivity of 0.32 S/m than that of native sciatic nerve. Based on finite element analysis and digital oscilloscope measurement, the conductive HF was demonstrated to generate electromotive forces through electromagnetic induction by using a figure-eight coil. This creative approach could non-invasively facilitate myelination by improving Schwann cell's growth and migration. Meanwhile, the electromotive forces drove the secretion of endogenous nerve growth factor (NGF) from Schwann cells. Moreover, exogenous nerve growth factor-75 (NGF-75) was loaded in the HF, which was released gradually and promoted the differentiation of neurons in a controlled manner. By applying the pulsed magnetic field (MF) and NGF-75 together, it was found that the rats with 5-mm sciatic nerve defects achieved a more rapid nerve regeneration and functional recovery. In a word, our study demonstrated the practical role of electromagnetic induction on nerve repair, and opened the window of synergistic therapy combining the bioelectricity and neurotrophic factors towards peripheral nerve injury.																		1385-8947	1873-3212		WOS:000724596700003		
