name,local name,homepage,Alternative names,image url,country,city,key subjects,key subject scores,institutions
Universidade de São Paulo,Universidade de São Paulo,http://www5.usp.br/en/,[],https://upload.wikimedia.org/wikipedia/commons/2/2f/Webysther_20170627_-_Bras%%C3%%A3o_USP.svg,Brazil,São Paulo,"['Biology', 'Medicine', 'Chemistry', 'Physics', 'Internal medicine', 'Genetics', 'Biochemistry', 'Pathology', 'Mathematics', 'Psychology', 'Computer science', 'Organic chemistry', 'Engineering', 'Quantum mechanics']","[64.8, 56.8, 44.4, 36.5, 35.8, 31.1, 31.0, 24.9, 24.2, 24.0, 23.8, 23.4, 22.7, 20.9]","['Clinics Hospital of Ribeirão Preto', 'Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo', 'Instituto Butantan']"
State University of Campinas,Universidade Estadual de Campinas,http://www.unicamp.br/unicamp/?language=en,['University of Campinas'],https://upload.wikimedia.org/wikipedia/en/b/b2/UNICAMP_logo.svg,Brazil,Campinas,"['Biology', 'Chemistry', 'Physics', 'Medicine', 'Philosophy', 'Engineering', 'Computer science', 'Mathematics', 'Organic chemistry', 'Biochemistry', 'Art', 'Quantum mechanics', 'Genetics', 'Internal medicine', 'Materials science']","[50.5, 40.3, 38.9, 37.7, 29.3, 25.6, 25.4, 24.9, 24.7, 24.5, 24.2, 23.1, 21.8, 20.5, 20.2]",[]
São Paulo State University,Universidade Estadual Paulista,http://www.unesp.br/portal#!/eng,[],https://upload.wikimedia.org/wikipedia/commons/0/0a/Logo_Unesp.svg,Brazil,São Paulo,"['Biology', 'Medicine', 'Chemistry', 'Physics', 'Philosophy', 'Genetics', 'Biochemistry', 'Ecology', 'Art', 'Geology', 'Organic chemistry', 'Internal medicine', 'Mathematics', 'Engineering']","[60.7, 41.8, 40.4, 33.6, 25.9, 25.6, 25.3, 23.2, 22.5, 22.1, 22.0, 21.8, 20.9, 20.6]",['Fundação para o Desenvolvimento da UNESP']
Federal University of Rio Grande do Sul,Università federale del Rio Grande do Sul,http://www.ufrgs.br/english/home,[],https://upload.wikimedia.org/wikipedia/commons/4/45/Bras%%C3%%A3o_UFRGS.svg,Brazil,Porto Alegre,"['Biology', 'Medicine', 'Philosophy', 'Chemistry', 'Physics', 'Art', 'Humanities', 'Computer science', 'Psychology', 'Mathematics', 'Engineering', 'Biochemistry', 'Internal medicine']","[49.4, 37.3, 35.0, 32.9, 32.2, 29.7, 25.5, 23.4, 22.3, 22.1, 21.4, 21.3, 20.6]",['Hospital de Clínicas de Porto Alegre']
Federal University of Rio de Janeiro,Università Federale di Rio de Janeiro,http://www.ufrj.br/,[],https://upload.wikimedia.org/wikipedia/en/2/2a/Bras%%C3%%A3o_da_UFRJ.png,Brazil,Rio de Janeiro,"['Biology', 'Physics', 'Medicine', 'Chemistry', 'Philosophy', 'Computer science', 'Art', 'Engineering', 'Mathematics', 'Biochemistry', 'Quantum mechanics', 'Humanities', 'Genetics', 'Organic chemistry', 'Geology']","[49.9, 36.9, 35.8, 35.2, 31.9, 26.7, 25.8, 25.2, 24.0, 23.0, 21.6, 21.6, 21.2, 20.7, 20.2]","['Ciências e Cognição', 'Valongo Observatory', 'Hospital Universitário Clementino Fraga Filho']"
Universidade Federal de Minas Gerais,Università federale di Minas Gerais,https://www.ufmg.br/english/,[],https://upload.wikimedia.org/wikipedia/commons/2/2d/Symbolfumg.jpg,Brazil,Belo Horizonte,"['Biology', 'Medicine', 'Chemistry', 'Philosophy', 'Physics', 'Computer science', 'Internal medicine', 'Genetics', 'Art', 'Biochemistry', 'Mathematics', 'Humanities', 'Psychology', 'Engineering']","[53.3, 44.4, 34.9, 31.2, 29.5, 25.9, 25.1, 24.9, 24.7, 23.8, 23.2, 20.8, 20.7, 20.2]",['Hospital das Clínicas da Universidade Federal de Minas Gerais']
Universidade Federal de Santa Catarina,Università federale di Santa Catarina,http://en.ufsc.br/,['Federal University of Santa Catarina'],https://upload.wikimedia.org/wikipedia/commons/6/6f/Brasao_UFSC_vertical_extenso.svg,Brazil,Florianópolis,"['Biology', 'Philosophy', 'Art', 'Physics', 'Medicine', 'Chemistry', 'Humanities', 'Computer science', 'Engineering', 'Mathematics', 'Political science', 'Psychology', 'Quantum mechanics']","[42.3, 40.6, 34.5, 34.0, 30.5, 29.5, 29.1, 28.7, 26.2, 24.7, 22.3, 20.8, 20.4]",['Polydoro Ernani de São Thiago University Hospital']
Federal University of Paraná,Università Federale del Paraná,http://www.ufpr.br/portalufpr/,[],https://upload.wikimedia.org/wikipedia/commons/d/d6/Universidade_Federal_do_Parana_3_Curitiba_Parana.jpg,Brazil,Curitiba,"['Biology', 'Philosophy', 'Medicine', 'Art', 'Chemistry', 'Humanities', 'Physics', 'Ecology']","[50.5, 36.2, 32.3, 31.9, 29.6, 28.4, 28.3, 21.6]",[]
University of Brasília,Università di Brasilia,http://www.alunoestrangeiro.unb.br/en/,[],https://upload.wikimedia.org/wikipedia/commons/c/c3/Webysther_20160322_-_Logo_UnB_%%28sem_texto%%29.svg,Brazil,Brasília,"['Biology', 'Philosophy', 'Art', 'Medicine', 'Humanities', 'Physics', 'Political science', 'Computer science', 'Chemistry', 'Mathematics']","[43.1, 41.2, 33.8, 29.5, 29.2, 28.7, 25.6, 25.2, 24.1, 22.7]",['Hospital Universitário de Brasília']
Federal University of São Paulo,Universidade Federal de São Paulo,http://www.unifesp.br/,[],https://upload.wikimedia.org/wikipedia/commons/1/10/Federal_University_of_S%%C3%%A3o_Paulo.jpg,Brazil,São Paulo,"['Medicine', 'Biology', 'Internal medicine', 'Chemistry', 'Psychology', 'Genetics', 'Pathology', 'Biochemistry', 'Surgery', 'Physics', 'Psychiatry', 'Endocrinology', 'Philosophy']","[79.0, 70.8, 52.4, 39.8, 38.7, 38.6, 36.1, 34.2, 25.8, 25.3, 25.0, 24.8, 21.2]",['Hospital São Paulo']
Federal University of São Carlos,,http://www.ufscar.br/,[],https://upload.wikimedia.org/wikipedia/commons/1/13/UFSCar_foto1.JPG,Brazil,São Carlos,"['Biology', 'Physics', 'Chemistry', 'Engineering', 'Organic chemistry', 'Philosophy', 'Quantum mechanics', 'Materials science', 'Art', 'Medicine', 'Computer science', 'Mathematics', 'Biochemistry', 'Humanities']","[48.2, 44.8, 44.1, 32.4, 32.2, 31.2, 29.7, 28.5, 25.9, 25.1, 25.1, 23.7, 22.6, 22.2]",[]
