name,local name,homepage,Alternative names,image url,country,city,key subjects,key subject scores,institutions
Sapienza University of Rome,"Università degli Studi di Roma ""La Sapienza""",http://www.uniroma1.it/,"['Università degli Studi di Roma ""La Sapienza""']",https://upload.wikimedia.org/wikipedia/en/4/45/Sapienza_University_of_Rome.png,Italy,Rome,"['Biology', 'Medicine', 'Physics', 'Chemistry', 'Internal medicine', 'Mathematics', 'Computer science', 'Genetics', 'Engineering', 'Quantum mechanics', 'Biochemistry', 'Psychology', 'Pathology', 'Organic chemistry']","[63.3, 52.5, 46.9, 41.5, 37.5, 34.9, 33.3, 31.3, 31.1, 31.1, 28.1, 26.8, 24.7, 20.3]","['INFN Sezione di Roma I', 'Institute for Complex Systems', 'Institute of Molecular Biology and Pathology', 'Policlinico Umberto I']"
University of Bologna,Università di Bologna,http://www.unibo.it/en/homepage,[],https://upload.wikimedia.org/wikipedia/commons/d/d0/Seal_of_the_University_of_Bologna.svg,Italy,Bologna,"['Biology', 'Medicine', 'Physics', 'Chemistry', 'Computer science', 'Mathematics', 'Engineering', 'Internal medicine', 'Quantum mechanics', 'Genetics', 'Biochemistry', 'Organic chemistry', 'Psychology', 'Pathology', 'Materials science']","[62.1, 46.9, 46.3, 44.4, 35.9, 33.4, 32.6, 31.8, 30.6, 30.3, 29.8, 24.1, 21.4, 21.4, 20.9]","['INFN Sezione di Bologna', 'Policlinico S.Orsola-Malpighi']"
University of Padua,Università degli Studi di Padova,https://www.unipd.it/en/,['Università di Padova'],https://upload.wikimedia.org/wikipedia/en/d/db/University_of_Padua_seal.svg,Italy,Padova,"['Biology', 'Medicine', 'Physics', 'Chemistry', 'Internal medicine', 'Genetics', 'Mathematics', 'Computer science', 'Biochemistry', 'Engineering', 'Quantum mechanics', 'Pathology', 'Psychology', 'Organic chemistry']","[66.1, 54.3, 46.2, 45.0, 40.0, 34.1, 32.6, 32.2, 31.2, 30.0, 28.8, 25.3, 25.2, 23.3]","['INFN Sezione di Padova', 'INFN Sezione di Pavia']"
University of Milan,Università degli Studi di Milano,http://www.unimi.it/ENG/,['Statale'],https://upload.wikimedia.org/wikipedia/en/e/e4/University_of_Milan_logo.png,Italy,Milan,"['Biology', 'Medicine', 'Chemistry', 'Internal medicine', 'Genetics', 'Biochemistry', 'Physics', 'Pathology', 'Mathematics', 'Psychology', 'Organic chemistry', 'Computer science', 'Quantum mechanics', 'Endocrinology', 'Engineering']","[72.7, 62.5, 51.3, 47.4, 41.7, 39.7, 38.5, 28.5, 26.1, 25.7, 24.6, 24.0, 22.0, 21.8, 20.4]","['Centre for Multidisciplinary Research in Health Science', 'Luigi Sacco Hospital']"
University of Naples Federico II,Università degli Studi di Napoli Federico II,http://www.unina.it/index.jsp,[],https://upload.wikimedia.org/wikipedia/en/f/f9/Logo_unina.gif,Italy,Naples,"['Biology', 'Medicine', 'Chemistry', 'Physics', 'Internal medicine', 'Genetics', 'Biochemistry', 'Engineering', 'Computer science', 'Mathematics', 'Quantum mechanics', 'Organic chemistry', 'Pathology', 'Geology', 'Materials science', 'Psychology']","[67.8, 50.8, 50.3, 46.5, 36.7, 36.7, 36.0, 33.5, 31.5, 31.4, 27.7, 27.1, 23.0, 22.5, 21.5, 20.1]","['Centro Interuniversitario di Ricerca sui Peptidi Bioattivi', 'Federico II University Hospital', 'INFN Sezione di Napoli']"
University of Florence,Università degli Studi di Firenze,http://www.unifi.it/,['UniFI'],https://upload.wikimedia.org/wikipedia/en/5/52/University_of_Florence.svg,Italy,Florence,"['Biology', 'Medicine', 'Physics', 'Chemistry', 'Internal medicine', 'Genetics', 'Biochemistry', 'Mathematics', 'Computer science', 'Engineering', 'Quantum mechanics', 'Psychology', 'Organic chemistry', 'Pathology', 'Geology']","[66.0, 50.6, 47.3, 45.3, 36.8, 33.8, 31.8, 31.5, 31.1, 29.4, 29.1, 24.9, 24.5, 23.0, 20.1]","['Galileo Galilei Institute for Theoretical Physics', 'INFN Sezione di Firenze', 'Quantum Science and Technology in Arcetri', 'Azienda Ospedaliero-Universitaria Careggi']"
University of Turin,Università degli Studi di Torino,http://en.unito.it/,[],https://upload.wikimedia.org/wikipedia/en/8/84/Unitoshieldbrass.png,Italy,Turin,"['Biology', 'Medicine', 'Chemistry', 'Internal medicine', 'Genetics', 'Physics', 'Biochemistry', 'Pathology', 'Mathematics', 'Computer science', 'Psychology', 'Quantum mechanics', 'Organic chemistry', 'Engineering']","[69.7, 58.2, 47.0, 43.7, 39.4, 38.5, 34.7, 29.0, 28.0, 25.9, 24.3, 23.3, 22.4, 21.7]","[""Azienda Ospedaliera Citta' della Salute e della Scienza di Torino"", 'Azienda Ospedaliero Universitaria San Giovanni Battista', 'CTO Hospital']"
University of Pisa,Università di Pisa,http://www.unipi.it/,[],https://upload.wikimedia.org/wikipedia/en/0/06/University_of_Pisa.svg,Italy,Pisa,"['Biology', 'Medicine', 'Physics', 'Chemistry', 'Computer science', 'Mathematics', 'Internal medicine', 'Engineering', 'Genetics', 'Quantum mechanics', 'Biochemistry', 'Organic chemistry', 'Pathology', 'Psychology', 'Materials science']","[63.1, 48.5, 47.2, 44.7, 35.9, 35.6, 34.5, 33.0, 31.2, 30.6, 30.1, 23.7, 21.8, 21.8, 20.8]",['Ospedale Cisanello']
Politecnico di Milano,Politecnico di Milano,http://www.polimi.it/en/,[],https://upload.wikimedia.org/wikipedia/en/b/be/Logo_Politecnico_Milano.png,Italy,Milan,"['Engineering', 'Physics', 'Computer science', 'Mathematics', 'Quantum mechanics', 'Biology', 'Materials science', 'Chemistry', 'Thermodynamics', 'Artificial intelligence', 'Economics', 'Organic chemistry', 'Electrical engineering', 'Operating system', 'Geography', 'Programming language', 'Geology', 'Composite material', 'Optics']","[70.1, 66.9, 65.7, 52.9, 51.2, 42.6, 35.7, 35.4, 28.8, 26.4, 25.5, 25.1, 24.1, 23.9, 23.7, 22.9, 22.7, 22.0, 21.7]",['INFN Sezione di Milano']
University of Genoa,Università degli Studi di Genova,http://www.unige.it/,[],https://upload.wikimedia.org/wikipedia/en/4/4f/University_of_Genoa_logo.jpg,Italy,Genoa,"['Biology', 'Medicine', 'Physics', 'Chemistry', 'Internal medicine', 'Computer science', 'Mathematics', 'Engineering', 'Genetics', 'Quantum mechanics', 'Biochemistry', 'Psychology', 'Pathology', 'Organic chemistry']","[64.0, 51.3, 46.5, 43.0, 36.4, 35.5, 35.0, 33.1, 32.2, 29.5, 28.9, 25.7, 24.2, 21.8]",['INFN Sezione di Genova']
University of Pavia,Università di Pavia,http://www.unipv.eu/site/en/home.html,['Università di Pavia'],https://upload.wikimedia.org/wikipedia/commons/d/dc/Logo_UNIPV.svg,Italy,Pavia,"['Biology', 'Medicine', 'Chemistry', 'Physics', 'Internal medicine', 'Genetics', 'Biochemistry', 'Mathematics', 'Quantum mechanics', 'Computer science', 'Engineering', 'Pathology', 'Psychology', 'Organic chemistry', 'Materials science']","[66.8, 57.7, 46.4, 44.7, 41.8, 35.3, 33.3, 30.0, 29.5, 29.3, 28.7, 27.8, 26.2, 22.4, 21.3]",[]
University of Rome Tor Vergata,"Università degli Studi di Roma ""Tor Vergata""",http://web.uniroma2.it/home.php?newlang=italian,['University of Rome II'],https://upload.wikimedia.org/wikipedia/commons/9/97/Rettorato_Universit%%C3%%A0_di_Roma_Tor_Vergata.png,Italy,Rome,"['Biology', 'Physics', 'Medicine', 'Chemistry', 'Mathematics', 'Internal medicine', 'Computer science', 'Quantum mechanics', 'Engineering', 'Genetics', 'Biochemistry', 'Pathology', 'Psychology', 'Organic chemistry', 'Materials science']","[62.0, 51.0, 50.9, 43.7, 36.5, 36.3, 36.1, 34.8, 34.4, 33.5, 30.1, 23.9, 23.8, 21.6, 20.8]",['INFN Sezione di Roma II']
University of Bari Aldo Moro,Università degli Studi di Bari Aldo Moro,http://www.uniba.it/english-version,['University of Bari'],https://upload.wikimedia.org/wikipedia/commons/4/48/26_UNIVERSITA%%27_DI_BARI.jpg,Italy,Bari,"['Biology', 'Medicine', 'Chemistry', 'Internal medicine', 'Genetics', 'Biochemistry', 'Physics', 'Pathology', 'Mathematics', 'Psychology', 'Organic chemistry', 'Computer science', 'Quantum mechanics', 'Engineering']","[73.5, 58.8, 50.5, 43.7, 42.1, 38.4, 37.9, 29.3, 26.4, 24.5, 24.4, 24.2, 22.5, 21.8]",[]
University of Palermo,Università degli Studi di Palermo,http://portale.unipa.it/,[],https://upload.wikimedia.org/wikipedia/commons/e/e1/Facolt%%C3%%A0_di_Architettura_a_Palermo.jpg,Italy,Palermo,"['Biology', 'Medicine', 'Chemistry', 'Physics', 'Internal medicine', 'Genetics', 'Engineering', 'Biochemistry', 'Mathematics', 'Computer science', 'Quantum mechanics', 'Pathology', 'Organic chemistry', 'Geology', 'Psychology']","[67.0, 48.8, 45.2, 41.7, 34.9, 31.9, 31.0, 30.4, 29.9, 29.6, 26.3, 23.7, 23.3, 21.4, 21.3]","['Azienda Ospedaliera Universitaria Policlinico ""Paolo Giaccone"" di Palermo']"
